"","pairs","Df","SumsOfSqs","F.Model","R2","p.value","p.adjusted","sig"
"104","Xestospongia nova spec Lanyu vs Petrosia (Petrosia) lignosa",1,1.92819934703664,48.0586080469176,0.827760252331249,0.005,1,""
"105","Xestospongia nova spec Lanyu vs Neopetrosia ovata",1,2.70127314406211,54.1798694340973,0.818675979529549,0.001,0.21,""
"106","Acanthostrongylophora ingens vs Neopetrosia carbonaria",1,3.3494551901909,28.1468127812102,0.623450716612375,0.001,0.21,""
"107","Acanthostrongylophora ingens vs Neopetrosia rosariensis",1,0.9603422388797,6.8116378827057,0.34382002755319,0.002,0.42,""
"108","Acanthostrongylophora ingens vs Petrosia (Petrosia) weinbergi",1,3.73337139865509,25.3516736766571,0.559001942406942,0.001,0.21,""
"109","Acanthostrongylophora ingens vs Neopetrosia proxima",1,1.29152964450232,9.70138700843913,0.392746650425933,0.001,0.21,""
"110","Acanthostrongylophora ingens vs Petrosia (Petrosia) nigricans",1,1.66104745616879,10.9524403193562,0.457257806441769,0.001,0.21,""
"111","Acanthostrongylophora ingens vs Petrosia (Petrosia) aff. elephantotus",1,3.59764898114266,25.1435502283313,0.533340194078576,0.001,0.21,""
"112","Acanthostrongylophora ingens vs Xestospongia muta",1,3.10280022940837,18.0684498827784,0.340474423554661,0.001,0.21,""
"113","Acanthostrongylophora ingens vs Petrosia (Petrosia) nova spec Curacao",1,1.33614626810148,9.62024250590656,0.425293517670933,0.003,0.63,""
"114","Acanthostrongylophora ingens vs Neopetrosia eurystomata",1,2.63385442165565,21.9059090164481,0.487817961961853,0.001,0.21,""
"115","Acanthostrongylophora ingens vs Neopetrosia chaliniformis",1,0.926314353495523,6.28018962807714,0.309671149197859,0.001,0.21,""
"116","Acanthostrongylophora ingens vs Xestospongia mamillata",1,1.03029879379875,6.5406118999922,0.334718888715804,0.005,1,""
"117","Acanthostrongylophora ingens vs Xestospongia viridenigra",1,3.04092991446056,26.1614414595889,0.620506333604942,0.001,0.21,""
"118","Acanthostrongylophora ingens vs Petrosia (Petrosia) lignosa",1,1.31338429098474,9.56223433518075,0.423815930334106,0.005,1,""
"119","Acanthostrongylophora ingens vs Neopetrosia ovata",1,2.21137264812651,16.7305388315995,0.52726929474447,0.001,0.21,""
"120","Neopetrosia carbonaria vs Neopetrosia rosariensis",1,1.74313723913801,24.0796820592294,0.750620969832885,0.006,1,""
"121","Neopetrosia carbonaria vs Petrosia (Petrosia) weinbergi",1,3.20260644000723,28.3989907913206,0.654369843019486,0.002,0.42,""
"122","Neopetrosia carbonaria vs Neopetrosia proxima",1,2.41429633508153,32.483548768872,0.76461476760324,0.004,0.84,""
"123","Neopetrosia carbonaria vs Petrosia (Petrosia) nigricans",1,1.68615871111746,18.7901151304097,0.701382395668799,0.008,1,""
"124","Neopetrosia carbonaria vs Petrosia (Petrosia) aff. elephantotus",1,3.27901707501498,29.4289133592044,0.633848850424801,0.001,0.21,""
"125","Neopetrosia carbonaria vs Xestospongia muta",1,4.00250018609448,25.2434588932778,0.456949282304072,0.001,0.21,""
"126","Neopetrosia carbonaria vs Petrosia (Petrosia) nova spec Curacao",1,1.7525882234391,25.4058617629504,0.760521070919578,0.015,1,""
"127","Neopetrosia carbonaria vs Neopetrosia eurystomata",1,3.68192922466886,43.8407919374713,0.708929988830023,0.001,0.21,""
"128","Neopetrosia carbonaria vs Neopetrosia chaliniformis",1,1.98908119813074,22.0660044787026,0.71029425408826,0.005,1,""
"129","Neopetrosia carbonaria vs Xestospongia mamillata",1,1.58393522359826,15.9567474567885,0.666064852316458,0.009,1,""
"130","Neopetrosia carbonaria vs Xestospongia viridenigra",1,1.79401933125764,32.5590725477553,0.747469370750713,0.001,0.21,""
"131","Neopetrosia carbonaria vs Petrosia (Petrosia) lignosa",1,1.67277052265234,25.1602664063764,0.758747414693216,0.006,1,""
"132","Neopetrosia carbonaria vs Neopetrosia ovata",1,2.42098456750968,33.2120044833041,0.768582825083624,0.003,0.63,""
"133","Neopetrosia rosariensis vs Petrosia (Petrosia) weinbergi",1,1.73079591590431,12.6806798877938,0.535486309847466,0.003,0.63,""
"134","Neopetrosia rosariensis vs Neopetrosia proxima",1,0.774301931909507,8.40023042130308,0.583340000509724,0.016,1,""
"135","Neopetrosia rosariensis vs Petrosia (Petrosia) nigricans",1,1.17396225187374,8.89849345112745,0.6898862634496,0.1,1,""
"136","Neopetrosia rosariensis vs Petrosia (Petrosia) aff. elephantotus",1,1.60514710436327,12.2459234207546,0.485065379335155,0.002,0.42,""
"137","Neopetrosia rosariensis vs Xestospongia muta",1,0.969590481997381,5.52049885293368,0.175139958244026,0.001,0.21,""
"138","Neopetrosia rosariensis vs Petrosia (Petrosia) nova spec Curacao",1,0.966628780132794,10.690137361542,0.727708468508144,0.1,1,""
"139","Neopetrosia rosariensis vs Neopetrosia eurystomata",1,1.16566778110693,12.3487856837495,0.468666216043708,0.002,0.42,""
"140","Neopetrosia rosariensis vs Neopetrosia chaliniformis",1,0.770551988060636,6.20310308179072,0.553695082202101,0.027,1,""
"141","Neopetrosia rosariensis vs Xestospongia mamillata",1,0.856121947264545,5.67028883997716,0.58636188988855,0.1,1,""
"142","Neopetrosia rosariensis vs Xestospongia viridenigra",1,1.67615690720414,28.2095893320983,0.801190524150233,0.011,1,""
"143","Neopetrosia rosariensis vs Petrosia (Petrosia) lignosa",1,1.0170259623534,11.9055572850882,0.748515570482394,0.1,1,""
"144","Neopetrosia rosariensis vs Neopetrosia ovata",1,1.30337973119735,14.5150684739499,0.707532051008321,0.014,1,""
"145","Petrosia (Petrosia) weinbergi vs Neopetrosia proxima",1,2.49938098390316,19.5086846431597,0.600106859360875,0.001,0.21,""
"146","Petrosia (Petrosia) weinbergi vs Petrosia (Petrosia) nigricans",1,1.63122170412358,10.9400044961945,0.498632737203498,0.003,0.63,""
"147","Petrosia (Petrosia) weinbergi vs Petrosia (Petrosia) aff. elephantotus",1,3.81970034080787,27.124285891148,0.575590385683556,0.001,0.21,""
"148","Petrosia (Petrosia) weinbergi vs Xestospongia muta",1,4.6398142246703,26.9616341857257,0.449648088346199,0.001,0.21,""
"149","Petrosia (Petrosia) weinbergi vs Petrosia (Petrosia) nova spec Curacao",1,1.74624304963655,13.0303869103923,0.542246238438928,0.002,0.42,""
"150","Petrosia (Petrosia) weinbergi vs Neopetrosia eurystomata",1,4.17176083704122,35.9931646136625,0.631534761363894,0.001,0.21,""
"151","Petrosia (Petrosia) weinbergi vs Neopetrosia chaliniformis",1,2.01392111338862,13.9407349297009,0.537407092261654,0.001,0.21,""
"152","Petrosia (Petrosia) weinbergi vs Xestospongia mamillata",1,1.5396176677859,9.86710194089763,0.47285444662342,0.007,1,""
"153","Petrosia (Petrosia) weinbergi vs Xestospongia viridenigra",1,2.95760460080611,27.0917256399672,0.659298805733699,0.002,0.42,""
"154","Petrosia (Petrosia) weinbergi vs Petrosia (Petrosia) lignosa",1,1.81658419450734,13.7416305231868,0.555405211079711,0.003,0.63,""
"155","Petrosia (Petrosia) weinbergi vs Neopetrosia ovata",1,2.51061259276156,19.7659184657493,0.603246281236124,0.002,0.42,""
"156","Neopetrosia proxima vs Petrosia (Petrosia) nigricans",1,1.41382541586363,12.2616772955494,0.671443104436946,0.015,1,""
"157","Neopetrosia proxima vs Petrosia (Petrosia) aff. elephantotus",1,2.41338556488171,19.3783752749599,0.563679205895297,0.001,0.21,""
"158","Neopetrosia proxima vs Xestospongia muta",1,1.20888059602425,7.1552374577376,0.203532616337448,0.001,0.21,""
"159","Neopetrosia proxima vs Petrosia (Petrosia) nova spec Curacao",1,1.03205017219039,11.7768335829953,0.662482074100115,0.009,1,""
"160","Neopetrosia proxima vs Neopetrosia eurystomata",1,0.692826191954775,7.46153636101486,0.318032725828365,0.001,0.21,""
"161","Neopetrosia proxima vs Neopetrosia chaliniformis",1,0.989556003538325,8.82164277638574,0.557568066797229,0.008,1,""
"162","Neopetrosia proxima vs Xestospongia mamillata",1,0.930040500151701,7.26547825647917,0.547698176877305,0.018,1,""
"163","Neopetrosia proxima vs Xestospongia viridenigra",1,2.27659142745693,35.3240126695597,0.796949791818354,0.002,0.42,""
"164","Neopetrosia proxima vs Petrosia (Petrosia) lignosa",1,1.17751736616451,13.9678594999747,0.699517116493753,0.019,1,""
"165","Neopetrosia proxima vs Neopetrosia ovata",1,1.64412780226974,18.7129540499016,0.700519830751198,0.01,1,""
"166","Petrosia (Petrosia) nigricans vs Petrosia (Petrosia) aff. elephantotus",1,1.66956662685347,11.7782013323525,0.475345291386179,0.008,1,""
"167","Petrosia (Petrosia) nigricans vs Xestospongia muta",1,1.79618618458214,9.92522481877857,0.276274536035486,0.002,0.42,""
"168","Petrosia (Petrosia) nigricans vs Petrosia (Petrosia) nova spec Curacao",1,1.16941412387142,9.34673762176697,0.700301293592791,0.1,1,""
"169","Petrosia (Petrosia) nigricans vs Neopetrosia eurystomata",1,1.801214195094,17.2683271363512,0.552262583829622,0.001,0.21,""
"170","Petrosia (Petrosia) nigricans vs Neopetrosia chaliniformis",1,1.25891900328919,8.28376975895219,0.623600823355855,0.025,1,""
"171","Petrosia (Petrosia) nigricans vs Xestospongia mamillata",1,1.04993968468178,5.65468610443891,0.58569341802206,0.1,1,""
"172","Petrosia (Petrosia) nigricans vs Xestospongia viridenigra",1,1.618172619085,20.4206182709657,0.744717645283296,0.012,1,""
"173","Petrosia (Petrosia) nigricans vs Petrosia (Petrosia) lignosa",1,1.17548458788454,9.78619003708198,0.70985457263821,0.1,1,""
"174","Petrosia (Petrosia) nigricans vs Neopetrosia ovata",1,1.44017428190283,12.7535871891922,0.680061209651782,0.023,1,""
"175","Petrosia (Petrosia) aff. elephantotus vs Xestospongia muta",1,4.8226513298744,28.6987246662848,0.450538449814126,0.001,0.21,""
"176","Petrosia (Petrosia) aff. elephantotus vs Petrosia (Petrosia) nova spec Curacao",1,1.78514822982666,13.8405504363812,0.515658219051311,0.002,0.42,""
"177","Petrosia (Petrosia) aff. elephantotus vs Neopetrosia eurystomata",1,4.24526558125995,37.033254848803,0.616879010509645,0.001,0.21,""
"178","Petrosia (Petrosia) aff. elephantotus vs Neopetrosia chaliniformis",1,1.99661017161183,14.4372042660882,0.507687187917582,0.001,0.21,""
"179","Petrosia (Petrosia) aff. elephantotus vs Xestospongia mamillata",1,1.38919605374337,9.4110155611782,0.419928116844493,0.003,0.63,""
"180","Petrosia (Petrosia) aff. elephantotus vs Xestospongia viridenigra",1,2.94201688323301,27.1941517415541,0.629579483451055,0.001,0.21,""
"181","Petrosia (Petrosia) aff. elephantotus vs Petrosia (Petrosia) lignosa",1,1.56816897848137,12.3049891785922,0.486267316367878,0.001,0.21,""
"182","Petrosia (Petrosia) aff. elephantotus vs Neopetrosia ovata",1,2.51245453971818,20.3293404026547,0.575423717820872,0.001,0.21,""
"183","Xestospongia muta vs Petrosia (Petrosia) nova spec Curacao",1,1.47961293046343,8.47496373954354,0.245829518591272,0.001,0.21,""
"184","Xestospongia muta vs Neopetrosia eurystomata",1,2.92630424984641,19.1571621212606,0.347319575273731,0.001,0.21,""
"185","Xestospongia muta vs Neopetrosia chaliniformis",1,1.47614448515234,8.30563653119903,0.235249590355338,0.001,0.21,""
"186","Xestospongia muta vs Xestospongia mamillata",1,1.24948404891403,6.79423841682128,0.207177807591235,0.001,0.21,""
"187","Xestospongia muta vs Xestospongia viridenigra",1,3.5802715417773,22.6033105450993,0.438020551517617,0.001,0.21,""
"188","Xestospongia muta vs Petrosia (Petrosia) lignosa",1,1.58618774492442,9.12559717386882,0.259799061314114,0.003,0.63,""
"189","Xestospongia muta vs Neopetrosia ovata",1,2.51478359891145,14.9298333087409,0.347772915896718,0.001,0.21,""
"190","Petrosia (Petrosia) nova spec Curacao vs Neopetrosia eurystomata",1,1.23142865062601,13.3201414244692,0.487557557536618,0.003,0.63,""
"191","Petrosia (Petrosia) nova spec Curacao vs Neopetrosia chaliniformis",1,1.00004770403782,8.42006520350911,0.627423568799607,0.029,1,""
"192","Petrosia (Petrosia) nova spec Curacao vs Xestospongia mamillata",1,0.901590700605981,6.25365009127379,0.609895016467927,0.1,1,""
"193","Petrosia (Petrosia) nova spec Curacao vs Xestospongia viridenigra",1,1.68603415144471,30.3655651646809,0.812661738979486,0.018,1,""
"194","Petrosia (Petrosia) nova spec Curacao vs Petrosia (Petrosia) lignosa",1,1.10168673668583,14.0144175411732,0.777955629658426,0.1,1,""
"195","Petrosia (Petrosia) nova spec Curacao vs Neopetrosia ovata",1,1.16418485881976,13.6557115625121,0.694745215357994,0.016,1,""
"196","Neopetrosia eurystomata vs Neopetrosia chaliniformis",1,1.50843086857485,14.5630230304706,0.492609399771482,0.001,0.21,""
"197","Neopetrosia eurystomata vs Xestospongia mamillata",1,1.22202485841657,11.1344342095836,0.442995219893914,0.003,0.63,""
"198","Neopetrosia eurystomata vs Xestospongia viridenigra",1,3.34617207293107,42.1833339432424,0.712756972827803,0.001,0.21,""
"199","Neopetrosia eurystomata vs Petrosia (Petrosia) lignosa",1,1.51704041124049,16.6669982780641,0.543483197375268,0.003,0.63,""
"200","Neopetrosia eurystomata vs Neopetrosia ovata",1,2.21900186119326,24.130071057847,0.601296494667647,0.001,0.21,""
"201","Neopetrosia chaliniformis vs Xestospongia mamillata",1,0.798111785261378,4.77286287211849,0.488379191908569,0.033,1,""
"202","Neopetrosia chaliniformis vs Xestospongia viridenigra",1,1.8750586025845,23.1458747461431,0.743144154235364,0.006,1,""
"203","Neopetrosia chaliniformis vs Petrosia (Petrosia) lignosa",1,1.05311009785309,9.17573622725067,0.647284633415493,0.03,1,""
"204","Neopetrosia chaliniformis vs Neopetrosia ovata",1,1.50625065287253,13.6767104996459,0.661454852786187,0.007,1,""
"205","Xestospongia mamillata vs Xestospongia viridenigra",1,1.52476917548051,16.9172502799135,0.707324215029901,0.008,1,""
"206","Xestospongia mamillata vs Petrosia (Petrosia) lignosa",1,0.996950078608725,7.16342299278786,0.641686962629276,0.1,1,""
"207","Xestospongia mamillata vs Neopetrosia ovata",1,1.24790261774023,9.93340858265147,0.623432740780093,0.021,1,""
"208","Xestospongia viridenigra vs Petrosia (Petrosia) lignosa",1,1.5842862280389,30.0803156003364,0.81122059274122,0.012,1,""
"209","Xestospongia viridenigra vs Neopetrosia ovata",1,2.29334162793588,36.4825792325576,0.802122039869771,0.003,0.63,""
"210","Petrosia (Petrosia) lignosa vs Neopetrosia ovata",1,1.37609432717627,16.7979057873204,0.736817931612953,0.022,1,""
